[35.92, -75.22], <a href="/boats/u85.htm">U-85</a></strong> (Oblt. <a href="/men/commanders/383.html">Eberhard Greger</a>). Sunk on 14 April 1942 in the North Atlantic off <a href=\"/maps/cape_hatteras.htm\">Cape Hatteras</a>, in position 35.55N, 75.13W, by gunfire from the US destroyer <a href=\"/allies/warships/ship/2206.html\">USS Roper</a>.
[34.22, -76.57], <a href="/boats/u352.htm">U-352</a></strong> (Kptlt. <a href="/men/commanders/974.html">Hellmut Rathke</a>). Sunk on 9 May 1942 in the North Atlantic south of <a href=\"/maps/cape_hatteras.htm\">Cape Hatteras</a>, in position 34.13N, 76.34W, by depth charges from the US Coast Guard cutter <a href=\"/allies/warships/ship/11102.html\">USCGC Icarus</a>.
[24.22, -82.05], <a href="/boats/u157.htm">U-157</a></strong> (KrvKpt. <a href="/men/commanders/458.html">Wolf Henne</a>). Sunk at 2150hrs on 13 June 1942 in the <a href=\"/maps/us_east_coast.htm\">Gulf of Mexico</a> north of Havana, Cuba, in position 24.13N, 82.03W, by depth charges from the US Coast Guard cutter <a href=\"/allies/warships/ship/11097.html\">UCGC Thetis</a>.
[32.83, -67.47], <a href="/boats/u158.htm">U-158</a></strong> (Kptlt. <a href="/men/rostin.htm">Erwin Rostin</a>). Sunk on 30 June 1942 in the North Atlantic west of the <a href=\"/maps/us_east_coast.htm\">Bermuda</a>, in position 32.50N, 67.28W, by depth charges from a US <a href=\"/allies/aircraft/mariner.htm\">Mariner</a> aircraft (VP-74 USN/P-1).
[41.80, -66.63], <a href="/boats/u215.htm">U-215</a></strong> (KrvKpt. <a href="/men/commanders/496.html">Fritz Hoeckner</a>). Sunk on 3 July 1942 in the North Atlantic <a href=\"/maps/us_east_coast.htm\">east of Boston</a>, in position 41.48N, 66.38W, by depth charges from the British anti-submarine trawler <a href=\"/allies/warships/ship/6394.html\">HMS Le Tiger</a>.
[34.83, -74.92], <a href="/boats/u701.htm">U-701</a></strong> (Kptlt. <a href="/men/commanders/197.html">Horst Degen</a>). Sunk on 7 July 1942 in the North Atlantic off <a href=\"/maps/cape_hatteras.htm\">Cape Hatteras</a>, in position 34.50N, 74.55W, by depth charges from a US <a href=\"/allies/aircraft/hudson.htm\">A-29 Hudson</a> aircraft (396th Bomb Sqn USAAF).
[34.85, -75.37], <a href="/boats/u576.htm">U-576</a></strong> (Kptlt. <a href="/men/commanders/445.html">Hans-Dieter Heinicke</a>). Sunk on 15 July 1942 in the North Atlantic off <a href=\"/maps/cape_hatteras.htm\">Cape Hatteras</a>, in position 34.51N, 75.22W, by depth charges from two US Kingfisher aircraft (VS-9 USN) and gunfire from the US motor merchant <strong>Unicoi</strong>.
[28.67, -88.50], <a href="/boats/u166.htm">U-166</a></strong> (Oblt. <a href="/men/commanders/676.html">Hans-Günther Kuhlmann</a>). Sunk on 30 July 1942 in the <a href=\"/maps/us_east_coast.htm\">Gulf of Mexico</a> south-east of New Orleans, in position 28.40N, 88.30W, by depth charges from the US patrol craft <a href=\"/allies/warships/ship/8543.html\">USS PC-566</a>.
[43.03, -64.87], <a href="/boats/u754.htm">U-754</a></strong> (Kptlt. <a href="/men/commanders/894.html">Hans Oestermann</a>). Sunk on 31 July 1942 in North Atlantic <a href=\"/maps/us_east_coast.htm\">south of Nova Scotia</a>, in position 43.02N, 64.52W, by depth charges of a Canadian <a href=\"/allies/aircraft/hudson.htm\">Hudson</a> aircraft (113 Sqn RCAF/625).
[23.35, -80.30], <a href="/boats/u176.htm">U-176</a></strong> (KrvKpt. <a href="/men/commanders/201.html">Reiner Dierksen</a>). Sunk on 15 May 1943 in the <a href=\"/maps/us_east_coast.htm\">Florida Straits</a> north-east of Havana, in position 23.21N, 80.18W, by depth charges from the Cuban patrol craft <strong>CS 13</strong>.
[37.72, -73.27], <a href="/boats/u521.htm">U-521</a></strong> (Kptlt. <a href="/men/bargsten.htm">Klaus Heinrich Bargsten</a>). Sunk on 2 June 1943 in the North Atlantic <a href=\"/maps/cape_hatteras.htm\">north-east of Norfolk</a>, in position 37.43N, 73.16W, by depth charges from the US patrol craft <a href=\"/allies/warships/ship/8542.html\">USS PC-565</a>.
[27.92, -68.50], <a href="/boats/u84.htm">U-84</a></strong> (Kptlt. <a href="/men/commanders/1295.html">Horst Uphoff</a>). Sunk on 7 August 1943 in the North Atlantic south-west of Bermuda, in position 27.55N, 68.30W, by a <a href=\"/allies/technical/fido.htm\">Fido</a> homing torpedo from a US <a href=\"/allies/aircraft/b24.htm\">Liberator</a> aircraft (VB-105 USN/B-4).
[40.30, -62.37], <a href="/boats/u856.htm">U-856</a></strong> (Oblt. <a href="/men/commanders/1366.html">Friedrich Wittenberg</a>). Sunk on 7 April 1944 in the North Atlantic <a href=\"/maps/us_east_coast.htm\">south-east of Boston</a>, in position 40.18N, 62.22W, by depth charges from the US destroyer <a href=\"/allies/warships/ship/1748.html\">USS Champlin</a> and the US destroyer escort <a href=\"/allies/warships/ship/1552.html\">USS Huse</a>.
[40.15, -69.73], <a href="/boats/u550.htm">U-550</a></strong> (Kptlt. <a href="/men/commanders/401.html">Klaus Hänert</a>). Sunk on 16 April 1944 in the North Atlantic <a href=\"/maps/us_east_coast.htm\">east of New York</a>, in position 40.09N, 69.44W, by depth charges and gunfire from the US destroyer escorts <a href=\"/allies/warships/ship/1474.html\">USS Gandy</a>, <a href=\"/allies/warships/ship/1558.html\">USS Joyce</a> and <a href=\"/allies/warships/ship/1577.html\">USS Peterson</a>.
[39.55, -73.03], <a href="/boats/u869.htm">U-869</a></strong> (Kptlt. <a href="/men/commanders/871.html">Hellmut Neuerburg</a>). The boat was sunk on Feb 11 1945 off New Jersey, USA in position 39.33N, 73.02W by Hedgehogs and depth charges from the American destroyer escorts <a href=/allies/warships/ship/1550.html>USS Howard D. Crow</a> and <a href=/allies/warships/ship/1561.html>USS Koiner</a>.
[43.30, -61.13], <a href="/boats/u866.htm">U-866</a></strong> (Oblt. <a href="/men/commanders/1021.html">Peter Rogowsky</a>). Sunk on 18 March 1945 in the North Atlantic <a href=\"/maps/us_east_coast.htm\">south-east of Halifax</a>, in position 43.18N, 61.08W, by depth charges from the US destroyer escorts <a href=\"/allies/warships/ship/1565.html\">USS Lowe</a>, <a href=\"/allies/warships/ship/1568.html\">USS Menges</a>, <a href=\"/allies/warships/ship/1584.html\">USS Pride</a> and <a href=\"/allies/warships/ship/1572.html\">USS Mosley</a>.
[42.32, -61.75], <a href="/boats/u548.htm">U-548</a></strong> (Oblt. <a href="/men/commanders/661.html">Erich Krempl</a>). Sunk on 19 April 1945 in the North Atlantic south-east of Halifax, in position 42.19N, 61.45W, by depth charges from the US destroyer escorts <a href=\"/allies/warships/ship/1424.html\">USS Reuben James</a> and <a href=\"/allies/warships/ship/1355.html\">USS Buckley</a>.
[36.00, -74.00], <a href="/boats/u857.htm">U-857</a></strong> (Kptlt. <a href="/men/commanders/943.html">Rudolf Premauer</a>). <a href=\"/fates/missing.htm\">Missing</a> since 30 April 1945 in the North Atlantic off the US East Coast.
[36.57, -74.00], <a href="/boats/u879.htm">U-879</a></strong> (Kptlt. <a href="/men/commanders/777.html">Erwin Manchen</a>). Sunk on 30 April 1945 in the North Atlantic east of <a href=\"/maps/cape_hatteras.htm\">Cape Hatteras</a>, USA, in position 36.34N, 74.00W, by depth charges from the US patrol frigate <a href=\"/allies/warships/ship/228.html\">USS Natchez</a> and the US destroyer escorts <a href=\"/allies/warships/ship/1467.html\">USS Coffmann</a>, <a href=\"/allies/warships/ship/1456.html\">USS Bostwick</a> and <a href=\"/allies/warships/ship/1512.html\">USS Thomas</a>.
[41.22, -71.45], <a href="/boats/u853.htm">U-853</a></strong> (Oblt. <a href="/men/commanders/332.html">Helmut Frömsdorf</a>). Sunk on 6 May 1945 in the North Atlantic <a href=\"/maps/us_east_coast.htm\">south-east of New London</a>, in position 41.13N, 71.27W, by depth charges from the US destroyer escort <a href=\"/allies/warships/ship/1451.html\">USS Atherton</a> and the US patrol frigate <a href=\"/allies/warships/ship/2336.html\">USS Moberly</a>.
